Filename,English,Kashaya,Categories
point-finger,point with the finger,dukʼílʔ,verb
poison,poison,paši·,household
poison-oak,poison oak,ma·ṭí·ho,plant
porpoise,porpoise,soho·y,"animal; fish, sea creature"
possessions,"possessions, equipment, regalia",matʼilé·ya ~ matʼiléʔya,household
potato,"potato, edible bulb",hiʔbu,food
pound-freq-pl,pound meat to tenderize it,pohcopócota·du,verb; food
pour-down-caus,cause to pour down: put (gas) in (car),ṭʼayá·lahqaw,verb
power,"power, spirit, rule",weya,traditional culture
press-foot,crush or press with the foot,maʔṭʼéʔṭʼeʔ,verb
prune,"prune, pepperwood flesh",hat’,food
purse,purse,pé·su buhqʰal,household
pus,"pus, oozing",ṭʰomʔ,general
put-down,put down,banew,verb
quail,California valley quail,šaqa·qa,animal; bird
quail-mountain,mountain quail,cicʼa·ca,animal; bird
quiet-refl,"quiet down, become quiet",šuhkémciʔ,verb
quilt,quilted blanket,cʼoʔqʰo,traditional culture; household
railroad,"train, railroad",ʔoho káre·ta,vehicle
rain,rain,ʔihcʰe,weather
raspberry,raspberry,bá·škʰoṭ’,food
rattle,"any rattle, such as cocoon rattle",kʼoyokʼóyow,traditional culture
rattlesnake,rattlesnake,muhtʰi,"animal; reptile, amphibian"
rattling,sound of a rattling can,ṭolomʔ,"verb, sound"
recognize-sight,recognize (by sight),pʰiʔyaʔ,verb
rectum,"butt, rectum",haṭ’a·,body part
red,red,k’is,adjective; color
red-tailed-hawk,red-tailed hawk,c’iya·,animal; bird
redwood,redwood,q’asil,plant; tree
relative,relative (of someone),qanemáʔ,people
remove-clothing,remove (clothing),šohlóʔ,verb
return-caus,"return (something), repay (money)",qowícʰqaw,verb
rib,rib,misaʔ,body part
rice,rice,ʔaró·s,food
right-away,"right away, right now, immediately",ʔanawí,time; adverb
right-side,right (side); counterclockwise,hodotow,location
rip-knife,rip apart with a knife; cut open,caqʼaʔ,verb
ripe,"ripe, mature",sʼiʔ,adjective
river,river,biʔda,water
roadrunner,"roadrunner, pheasant",donóswa·la,animal; bird
roast,"roast, cook in embers or coals",hómʔ,verb
robin,robin,si·ṭóṭṭo ~ si·ṭóhṭo,animal; bird
rock,"rock, stone",qʰaʔbe,land
rock-kelp,rock kelp,qaye,plant
root,root,ʔihqʰoʔ,plant part
rope,"rope, string",sulemaʔ,household
rotten,rotten,ṭʰoʔ,adjective
rough,"rough, not smooth",cʰadaʔ,adjective
round,"round, spherical",polo·lo,adjective
roundhouse,roundhouse,maʔca,building; traditional culture
run-along,"run along, or toward here",mo·du,verb
run-along-pl,"run along, or toward here (several)",móhtaʔ,verb
run-away,"run away, run off",mo·biʔ,verb
run-here-there,"run here and there, all around",monʔwadú,verb
rust,"rusty; become rusty, rust",ʔapʰa·támʔ,adjective; verb
rustle,make a rustling or scraping sound,kʼišimʔ,verb
sack,"sack, bag",mišukʰ,household
salt,salt,ṭaʔq’o,food
same-as-before,the same as before,kúhmul,adverb
sand,sand,miṭaʔ,land
sated,have enough to eat or drink,damuʔ,food
saw,saw,serú·cu,tool
scatter-flap,scatter (dust) by flapping wings or scratching feet,hahšiháhšiw,verb
scatter-hand,"fluff (a pillow), brush off with the hand",dahpʰóhpʰoʔ,verb
scatter-melt-swing,"sow (seeds); throw away, waste (money)",hasóʔ ~ hahsóʔ,verb
scatter-pull,"shake out clothes, blanket, rug",šohpʰoʔ,verb
scrape-finger,scrape with finger; grate (vegetables); smooth rough surface (of a shell),duqʼaʔ,verb
scratch-bleed-finger,scratch with the finger and make bleed,dukʼiw,verb
screech-owl,screech owl,daʔṭʼoṭʼo,animal; bird
screwdriver,"screwdriver: ""tool for making metal tight""",cawikʰ duqʼáhcihqa·li,tool
scrub-brush,"scrub brush (traditionally of soaproot), comb",cucʼuqʼaʔ ~ cucʼuqáʔli,household
sea-trout,"sea trout, coastal trout",maṭáʔša,"animal; fish, sea creature"
sea-urchin,sea urchin,qʰá·ṭ’a,"animal; fish, sea creature"
seacliff,"seacliff, coastal cliff",qʰa sí·ṭʼil,land; water
seal,seal,qʰa bíhše,"animal; fish, sea creature"
see,"see, look",cadu,verb
seed,"seed (for eating); grounds, granules",ʔiso·,plant; plant part
seed-planted,seed (for planting),semí·ya,plant; plant part
separate-fall-recip,"separate, be separated; get divorced",diqʰácʰmuʔ,verb
serves-you-right,serves you right!,tuyyu,interjection
sew,sew,bitʼelʔ,verb
shallow,shallow (water); on top,wina·,adjective; location
sharp,sharp,siʔtʼa,adjective
sharp-shinned-hawk,sharp-shinned hawk,qʰaʔbeqʰaʔ,animal; bird
shawl,"shawl, wrap, cloak",ṭʰeyá·yiʔ,clothing
she,she,manʔ,pronoun
shell-bead,shell bead,kuhnu,traditional culture
shine,"shine, be shiny, sparkle",sʼahlúhluw,verb
shirt,shirt,ciwalaw,clothing
shiver,shiver (from cold or fear),sʼuṭusʼúṭuw,verb
shoe,shoe,sapá·tu,clothing
short,short (in length or height),biʔtʼe,adjective
short-dress,short (dress that exposes the legs),šahki,adjective
short-stubby,"short (person, dress), stubby (nose)",bikoš,adjective
shoulder,shoulder,s’uwa·,body part
shout-pl,"several shout, make noise",qacʼámʔ baʔtʼaw,general
shovel,shovel,pá·la,tool
shred,"shred (cloth), tear into strips",šupʰítʼpiʔtʼiw,verb
sing,"sing, make a sound, bark",cahnów,verb
singer,singer,ʔihmíncayʔ,people; traditional culture
sit-down-group-on-ground,sit down on the ground as a group,šuqʰaʔ,verb
sit-down-on-ground,sit down on the ground,cahcíw,verb
sit-group-on-ground,"sit, be sitting in a group on the ground",hihkóʔ,verb
sit-off-ground,"sit, be sitting off the ground",cumáw,verb
sit-off-ground-pl,"sit, be sitting off the ground (several)",bamáw,verb
six,"6, six",lanhcʼa,number
skill,skill,šayya,general
skink,Western skink,šibiláʔla ~ šubiláʔla,"animal; reptile, amphibian"
skinny,"thin, skinny",buṭuʔ,adjective
skirt,skirt,ná·waš,clothing
skunk,skunk,nupʰe·,animal; mammal
sky,sky,qaliqʰáʔbe,sky
sleep-v,"sleep, be asleep",simaʔ,verb
slender,"slender, skinny, thin",siʔkʼu,adjective; appearance
slick,"slick, smooth, slippery",sʼaluʔ,adjective
slick-finger-dur,spread slick (mud) with fingers,dupʼilá·du,verb
slip,slip on something wet; misstep,malayaʔ,verb
slope,slope,kʼošo·,land
slow,slow,baʔtʼa,adjective
small,"small, little",qawi,adjective; appearance
small-child,"small child, young child",naṭa qáwi,people
small-chiton,small black chiton; Chinese slipper,qaṭʼe·,"animal; fish, sea creature"
small-pl,"small, little (several)",qawí yya,adjective; appearance
smart,"smart, intelligent",ṭʼeʔye,adjective
smear,"smear, spread (with knife)",cʰitʼelʔ,verb
smelt,smelt,hánta,"animal; fish, sea creature"
smoke,smoke,hosá,general
smooth,"bare and smooth: floor, road, bald head",qʰá·sqʰa,adjective
snail,snail,pʼaʔla,"animal; insect, spider"
snake,snake (general term),musa·la,"animal; reptile, amphibian"
socks,socks,cú·ki,clothing
soda,"soda, pop: ""sweet water""",ʔahqʰa tú·lse,food
soft,soft,botʼ,adjective
someday,"someday, one day",hiʔdi méʔ tʰin,time; adverb
someone,"someone, anyone, no one",ciba· tʰín,pronoun
song,song,qʼoʔo,traditional culture
song-sparrow,song sparrow,šiyómpili,animal; bird
song-sparrow-2,song sparrow (other term),pʰadócʼomʔcʼo,animal; bird
sour,sour,mosʼ,adjective; taste
spice-bush,"spice bush, sweet shrub",šune,plant
spider,spider,ʔicʰa·,"animal; insect, spider"
spill,spill,ṭʼaʔ,verb
spin,spin around,tilitíliw,verb
spinning-top,spinning top,wiyi,game
splash-hand,splash with the hands,dapʰoʔ,verb
spoiled,"spoiled, ruined, rotten",kʰunuʔ,adjective
spoon,spoon,ló·ška,household
spotted,spotted,pʰoʔkʼo,adjective; appearance
spring,"spring, pool",k’olo·málli,water
squash,squash,kaliwá·sa,food
stale,"stale (bread, odor)",mokʼomʔ,adjective; taste; food
stand,"stand, be standing",tʼetʰmaw,verb
stand-end,stand something upright; plant in the ground,pʰatʼéʔ,verb
stand-group,"stand, be standing in a group",qohqʰómʔ,verb
stand-group-long,"(people, trees, hair) stand in a group",qoláw,verb
stand-poke,stand upright by inserting in ground; plant in ground,pʰatʼeʔ,verb
star,star,qʰá·mos’,sky
start-project,start of a project; center piece of a basket,pʰaʔtʼémʔ,basket; general
steal,steal,dacʰáʔ,verb
stellars-jay,stellars jay,s’awala,animal; bird
stem,"stem of plant, handle of tool",sama,plant; tool
stiff,stiff,muhqa,adjective
stomach,stomach,cʼoqo·,body part
stop-caus,stop (someone); make someone stop,sáhqacʼqaw,verb
stove,stove,stú·fa,household
straight,"straight, smooth",yala,adjective
straighten,"straighten, stretch out",yalaʔ,verb
strawberry,strawberry,qʰámʔs’udu,food
stretch-out-leg,stretch out one's leg,taʔ,verb
string-bean,"string bean, green bean",yihó·l sʼamoʔ,food
submerge,submerge,ṭʼubuʔ,verb
suck,suck,tʼow,verb
suckerfish,suckerfish,ṭʰoyo,"animal; fish, sea creature"
sugar,sugar,túyʔtu,food
sun,"sun, clock",haʔda,sky; time
sunset,sunset,haʔda cáhciw,sky; time
swallow,swallow,qalala,animal; bird
sweet,"sweet, dessert",tú·lse,adjective; taste; food
swing,swing,banaʔ,game
swordfish,swordfish,tʰiwíns’u·s’u,"animal; fish, sea creature"
syrup,"syrup, honey, jam",miyé·l,food
table,table,lamé·sa,furniture
taboo,"taboo, forbidden",ko·ko,traditional culture
taboo-sickness,sickness from breaking taboo,maṭʰamʔ,traditional culture
tan,"tan, brown, yellow",qʰalaʔ,adjective; color
tan-oak,tan oak,cʼíšqʰale,plant; tree
tan-oak-bark,tan oak bark,cʼíšqʰale qahwa·,plant; plant part
tap-hammer,tap or hammer,pihṭáhṭaw,verb
tarantula,tarantula,cohṭʰoʔ,"animal; insect, spider"
taste-soup,taste a certain way (speaking of soup),biʔtʼaw,verb
tea,tea,cá·yu ~ cá·yo,food
ten,"10, ten",c’ašoṭ’ó,number
thank-you,thank you,yahwiy,interjection
that,"that, those; there",haʔu,pronoun; location
that-he,"that, it, he, she",mu·,pronoun
that-him,"that, it, him, her",mul,pronoun
there,there (distant but visible),haʔdi,location
they,they,ma·cáʔ,pronoun
thick-viscous,thick (like batter),qʰoʔṭʼoʔ,adjective
thin,"thin, transparent",sihyaš,adjective; appearance
thirteen,"13, thirteen",ná·sibo,number
this,"this, these; here",maʔu,pronoun; location
this-obj,"this, these (as object)",maʔál,pronoun
thorn,thorn,hiʔṭʼíʔ,plant part
thread,thread (for sewing),ʔí·lo,household
three,"3, three",sibó,number
three-day-ago,three days ago,sibó maci hqow,adverb; time
thrifty,thrifty,cunaʔ,adjective
throw-away,"throw away, discard",damitá·duʔ,verb
tide-come-in,come in at high tide (of water),mowáʔ,verb; water; time
tie,tie,pʰanamʔ,verb
tie-fasten,fasten with rope or string; tie shoelaces,šucʰaw,verb
tight-fit,"tight fitting, too small",saw,adjective
tip,"tip (of nose), point (of stick), edge (of table)",puʔšúl,general
tired,tired,tʼunuw,adjective
tired-pl,tired (several),tʼunuʔ,adjective
toad,toad,mašánhqʰoṭi,"animal; reptile, amphibian"
tobacco,tobacco,ka·wa,household
today,today,bimáci,time; adverb
toes,toes,qʰamáʔbamʔ,body part
together,together,kutol,adverb
tomato,tomato,tomá·te,food
tomorrow,tomorrow,ʔamhúl,time; adverb
tongue,tongue,ha·ba,body part
tooth,tooth,hoʔo,body part
topknot,topknot (of quail),kʰeya,body part; bird
touch-finger,touch with the finger,duhṭáyʔ,verb
town,town,péwlo,place
toyon-berry,toyon berry,budu,food
transform-energy,"change (appearance), turn (some color) due to heat or energy",mocʼow,verb
trap,trap,tarámpa,tool
tree,tree,qʰale,plant; tree
tree-branch,tree branch,qʰale ʔíša·,plant; plant part
tribe,"tribe, people",nohpʰo,people
trout,trout,le·wen,"animal; fish, sea creature"
turban-snail,turban snail,sʼuqʰa·,"animal; insect, spider"
turn-around,turn around,kúsmuliʔ,verb
turn-finger,turn over (an object); steer (a car or ship),duʔbálhciʔ,verb
turtle,turtle,qʰawina,"animal; reptile, amphibian"
twenty-two,"22, twenty-two",camhma qʰo·,number
twist-dance,twist dance,lu·lumúʔ,traditional culture
two,"2, two",qʰo·,number
two-day-ago,two days ago,qʰo máci hqow,adverb; time
ugly,"ugly, really bad, no good",piškudú,adjective; appearance
umbrella,umbrella,pišomʔ,household
under,under,ʔiyow,location
unripe,"unripe, green, immature",sʼamoʔ,adjective
up,"up, high, in the air",qali·,location
uphill,"uphill, steep, high",qalil,adjective; location
upside-down,"upside down; downwards, downhill",ʔamalhqʰáʔ,adverb
urine,urine,sʼoʔoʔ,general
valley,"valley, low, sloped [?]",kʼolommaw,land
valley-loc,"valley, low area",kʼolommawálli,land
venison,"venison, deer meat",ʔacaʔ bíhše,food; traditional culture
very,"very, very much, too (much)",ʔaná·,adverb
very-good,very good,ʔaná· qʼoʔdi,adjective; taste
vulture,"turkey vulture, buzzard",cuhcʰi,animal; bird
wagon,"wagon, truck",kare·ta,vehicle
waist,waist,k’iwili,body part
wash-hand,wash with the hands,daséw,verb
wash-hands-refl,wash one's hands,paseʔ,verb
washboard,washboard,cukikiʔ,household
water,water,ʔahqʰa,water
water-circle,whirlpool,ʔahqʰa cúliʔ,water; time
water-cold,cold water,ʔahqʰa ʔihyúmʔ,water
water-ebb,low tide,ʔahqʰa cʰúliw,water; time
water-hot,hot water; coffee (older term),ʔahqʰa ʔóho,water
water-strider,water strider,qʰa šáqa·qa,insect
watery,"watery, weak (coffee)",qʰasíhqal,food
waves-splash-rocks,waves to splash over rocks,dahpʰómʔ,verb
weak,"weak, clumsy",sʼawaʔ,adjective
weary,"weak, weary",ló·ho,adjective
wet-cloth,"wet (cloth, etc.)",qʰonomʔ,adjective
wet-person,"wet (person, etc.)",sihcow,adjective
whale,whale,pú·šu,"animal; fish, sea creature"
what,"what, which",baqʼo,question
wheat,wheat,"šinícca, šiníhca",food
wheel,wheel,pili·li,vehicle
when,when,bute·,question
where,where,heʔéy,question
whistle,whistle,libu·,household; music
whistle-v,whistle,sisutá·du,verb
white,white,qahle,adjective; color
white-crowned-sparrow,white-crowned sparrow,s’úmʔ s’ihta,animal; bird
white-person,white person,pʰaláʔcayʔ,people
white-person-language,English; white people's language,pʰaláʔcayʔ cahno,speaking
white-woman,white woman,pʰaláʔcayʔ ʔima·ta,people
whole,"whole, entire, all of it",kuʔmu,number
why,why?,heʔén sʼin ˇ,question
wide,wide; large space,bahṭʰema·,adjective
willet,"willet, sandpiper, plover",qʰapíliʔli,animal; bird
willing,willing (to do),lícʰqaʔ,adjective
willow,willow,cuṭ’a·,plant; tree
wind,wind,ʔihya,weather
window,window,wentá·na,building
windpipe,windpipe,k’uyu,body part
wine,wine,wí·nu,food
wipe-hand,wipe with the hand; dust (furniture),dahqálʔ,verb
without,"without, lacking",cʰoʔ,grammatical
woman,"woman, female",ʔima·ta,people; adjective
wood,"wood, stick",ʔahay,plant; plant part
woodpecker,woodpecker,kʼaṭaʔ,animal; bird
woods,woods,kulu·,land; plant
worm,worm,ʔicʰo·,"animal; insect, spider"
worsen,"worsen, get worse, excited, out of control",šamáw,verb
wrentit,wrentit,miʔdíšṭiṭi,animal; bird
write,"write, mark",sʼiʔ,verb
write-record,"record, write down",sʼiwadú,verb
yawn,yawn,kʰašá·du,verb
yellowhammer,yellowhammer,koʔc’iya,animal; bird
yes,yes,hú· ˇ,interjection
yes2,yes (2),huʔ,interjection
yesterday,"yesterday, one day ago",ku máci hqow,adverb; time
you-obj,you (object),mito,pronoun
you-pl,you (several),maya,pronoun
young-man,young man,qawiyá,people
young-woman,young woman,qá·šenʔ,people
